id,URL de la Portada,Géneros,Nombre,Rating,Número de Ratings,Sinopsis
1026,//images.igdb.com/igdb/image/upload/t_thumb/co3vzn.jpg,"[9, 31]",The Legend of Zelda: A Link to the Past,92.75007356933446,1278,"The Legend of Zelda: A Link to the Past is a top-down action game with puzzle-solving elements similar to the original The Legend of Zelda. After the side-scrolling and RPG-like gameplay of Zelda II: The Adventure of Link, the game is a return to the top-down view and gameplay style of the first installment. It introduces major new items to the series such as the Master Sword and the concept of two different worlds, which was revisited to some extent in Ocarina of Time with two distinct time periods rather than dark and light worlds."
1070,//images.igdb.com/igdb/image/upload/t_thumb/co65za.jpg,"[8, 31]",Super Mario World,92.73575327094488,1427,"A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction."
7346,//images.igdb.com/igdb/image/upload/t_thumb/co3p2d.jpg,"[9, 12, 31]",The Legend of Zelda: Breath of the Wild,92.73562975487017,1959,"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time."
14593,//images.igdb.com/igdb/image/upload/t_thumb/co1rgi.jpg,"[8, 31, 32]",Hollow Knight,92.65798867698246,1199,"A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas."
379,//images.igdb.com/igdb/image/upload/t_thumb/co5ei5.jpg,"[5, 24, 31]",Metal Gear Solid 3: Snake Eater,92.53660092452378,965,"Metal Gear Solid 3: Snake Eater is the prequel to the entire Metal Gear series. Most of the series' defining gameplay elements have been carried over and as before, Snake must use stealth and wits rather than brute force to infiltrate enemy zones and eliminate his major adversaries. Unlike the previous games, this installment takes place in a large outdoor jungle. Snake is able to use camouflage, climb trees, hide in tall grass or wear clothes that make him less noticeable."
25076,//images.igdb.com/igdb/image/upload/t_thumb/co1q1f.jpg,"[5, 12, 31]",Red Dead Redemption 2,92.5247178434559,1872,"Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age."
1029,//images.igdb.com/igdb/image/upload/t_thumb/co3nnx.jpg,"[12, 31]",The Legend of Zelda: Ocarina of Time,92.05207922202563,1590,"The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex."
1128,//images.igdb.com/igdb/image/upload/t_thumb/co53m8.jpg,"[8, 12, 31]",Castlevania: Symphony of the Night,92.04663460978628,557,"A seminal 2D metroidvania in which after the events of Castlevania: Rondo of Blood (1993), a man named Alucard arrives at Dracula's castle after it rises from the rubble, and seeks to defeat the evil contained within it once and for all by exploring, fighting its inhabitants and collecting the various weapons and abilities hidden in its depths."
7334,//images.igdb.com/igdb/image/upload/t_thumb/co1rba.jpg,"[12, 31]",Bloodborne,91.88955724997585,1237,"An action RPG in which the player embodies a Hunter who, after being transfused with the mysterious blood local to the city of Yharnam, sets off into a ""night of the Hunt"", an extended night in which Hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful Hunters, uncover the answers to the Hunt's many mysteries."
113112,//images.igdb.com/igdb/image/upload/t_thumb/co39vc.jpg,"[12, 25, 31, 32]",Hades,91.77832137648402,791,"A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants."
72,//images.igdb.com/igdb/image/upload/t_thumb/co1rs4.jpg,"[5, 8, 9, 31]",Portal 2,91.76781369442766,3101,"Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs."
481,//images.igdb.com/igdb/image/upload/t_thumb/co2vyg.jpg,"[9, 31]",Silent Hill 2,91.52505016057893,831,"The second entry in the Silent Hill franchise, Silent Hill 2 is a narrative-focused third-person psychological horror game with exploration and puzzle-solving elements which follows James Sunderland, a man who receives a letter, seemingly sent by his three-years-deceased wife Mary, in which he is beckoned to the fog-ridden town of Silent Hill at the same time as numerous other people troubled by their past."
11208,//images.igdb.com/igdb/image/upload/t_thumb/co5pcj.jpg,"[12, 25]",NieR: Automata,91.4726672931284,1015,"NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines."
74,//images.igdb.com/igdb/image/upload/t_thumb/co20ac.jpg,"[5, 12, 31]",Mass Effect 2,91.3766588716611,2125,"Are you prepared to lose everything to save the galaxy? You'll need to be, Commander Shephard. It's time to bring together your greatest allies and recruit the galaxy's fighting elite to continue the resistance against the invading Reapers. So steel yourself, because this is an astronomical mission where sacrifices must be made. You'll face tougher choices and new, deadlier enemies. Arm yourself and prepare for an unforgettable intergalactic adventure.

Game Features:

Shift the fight in your favour. Equip yourself with powerful new weapons almost instantly thanks to a new inventory system. Plus, an improved health regeneration system means you'll spend less time hunting for restorative items.

Make every decision matter. Divisive crew members are just the tip of the iceberg, Commander, because you'll also be tasked with issues of intergalactic diplomacy. And time's a wastin' so don't be afraid to use new prompt-based actions that let you interrupt conversations, even if they could alter the fate of your crew...and the galaxy.

Forge new alliances, carefully. You'll fight alongside some of your most trustworthy crew members, but you'll also get the opportunity to recruit new talent. Just choose your new partners with care because the fate of the galaxy rests on your shoulders, Commander."
26192,//images.igdb.com/igdb/image/upload/t_thumb/co5ziw.jpg,"[5, 31]",The Last of Us Part II,91.12274323748852,920,"The Last of Us Part II is an action-adventure game set five years after the events of The Last of Us. The player traverses post-apocalyptic environments such as buildings and forests to advance the story. He can use firearms, improvised weapons, and stealth to defend against hostile humans and cannibalistic creatures infected by a mutated strain of the Cordyceps fungus. The game intermittently switches control between Ellie and Abby, and also briefly Joel in the opening sequence. The nimble nature of the player character introduces platforming elements, allowing the player to jump and climb to traverse environments and gain advantages during combat."
76882,//images.igdb.com/igdb/image/upload/t_thumb/co2a23.jpg,"[25, 31]",Sekiro: Shadows Die Twice,91.0404510060882,724,"Enter a dark and brutal new gameplay experience from the creators of Bloodborne and the Dark Souls series. Sekiro: Shadows Die Twice is an intense, third-person, action-adventure set against the bloody backdrop of 14th-century Japan. Step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch nemesis.

Take Revenge. Restore Your Honor. Kill Ingeniously."
7331,//images.igdb.com/igdb/image/upload/t_thumb/co1r7h.jpg,"[5, 31]",Uncharted 4: A Thief's End,90.94549585402697,1832,"Several years after his last adventure, retired fortune hunter, Nathan Drake, is forced back into the world of thieves. With the stakes much more personal, Drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure. His greatest adventure will test his physical limits, his resolve, and ultimately what he's willing to sacrifice to save the ones he loves."
233,//images.igdb.com/igdb/image/upload/t_thumb/co1nmw.jpg,[5],Half-Life 2,90.92611587150009,2469,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.

NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies."
116,//images.igdb.com/igdb/image/upload/t_thumb/co1tmz.jpg,"[12, 31]",Star Wars: Knights of the Old Republic,90.76379231854888,1081,"Choose Your Path! Set 4,000 years before the Galactic Empire, you are the last hope for the Jedi Order and the Republic - can you master the ways of the Force to become their savior? Or will you fall to the dark side and achieve ultimate power? Hero, villain, peacekeeper, or chaos-bringer... you and your party will determine the fate of the galaxy!

Star Wars: Knights of the Old Republic is a role-playing video game. Players will be able to create their own characters and be able to choose what gender, appearance, class, skills, attributes, and feats they have throughout the game - no two characters will be the same!"
732,//images.igdb.com/igdb/image/upload/t_thumb/co2lb9.jpg,"[5, 10, 31]",Grand Theft Auto: San Andreas,90.56469389489541,2740,"Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life."
375,//images.igdb.com/igdb/image/upload/t_thumb/co6k5r.jpg,"[9, 24, 31]",Metal Gear Solid,90.5268506465704,1257,"Metal Gear Solid is a stealth game created by Hideo Kojima which follows the MSX2 video games Metal Gear and Metal Gear 2: Solid Snake. Despite a transition to 3D, Metal Gear Solid's gameplay remains similar to his predecessors. The game utilizes a traditional top-down view and the player must navigate the protagonist Solid Snake through the game's areas without being detected. Detection will set off an alarm which draws armed enemies to his location. Conversations with Snake's allies and cutscenes are used extensively to advance the plot and gain more insight into it. Metal Gear Solid is regarded as one of the greatest and most important video games of all time, and helped popularize the stealth genre and in-engine cinematic cutscenes."
427,//images.igdb.com/igdb/image/upload/t_thumb/co2kx2.jpg,"[12, 16, 31]",Final Fantasy VII,90.02345853251552,1201,"Final Fantasy VII is the seventh main installment in the Final Fantasy series, and was the first title to feature three-dimensional graphics, pre-rendered backgrounds and numerous full motion videos.

The gameplay is a departure from previous entries in the series in many ways. Though it retains the Active Time Battle pseudo-turn based menu command system, FFVII features three party members rather than four. The Materia system allows the player to customize each party member's abilities to their liking, and the Limit system grants them unique combat skills.

Though minigames had been a recurring feature, FFVII introduces numerous new ones, many of them playable in the theme park Gold Saucer varying from racing with Chocobos to snowboarding."
1020,//images.igdb.com/igdb/image/upload/t_thumb/co2lbd.jpg,"[5, 10, 31]",Grand Theft Auto V,89.8883604905908,4047,"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story."
1074,//images.igdb.com/igdb/image/upload/t_thumb/co721v.jpg,"[8, 31]",Super Mario 64,89.8599957659794,1452,"The first three dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his arch rival Bowser. Mario has to jump into worlds-within-paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for platforming trials."
2207,//images.igdb.com/igdb/image/upload/t_thumb/co1ozz.jpg,"[8, 9, 31]",Shadow of the Colossus,89.82952693676852,995,"An open-world action/adventure game in which a young wanderer, along with a stolen magical sword and his steed companion, trespasses a cursed land, makes a deal with an ancient being to bring a sacrificial victim back to life, and sets off to fulfill his end of the bargain, which involves tracking down and infiltrating the abodes of sixteen colossi and sacrificing them to achieve his goal."
14,//images.igdb.com/igdb/image/upload/t_thumb/co50kv.jpg,"[9, 12, 16]",Fallout 2,89.71595321795104,640,"A turn-based tactical Western RPG in which the Chosen One is tasked with exploring post-nuclear California to locate and retrieve the fabled Garden of Eden Creation Kit for their famine-stricken tribe, while coming into contact through branching dialogue trees with numerous tribes, factions and micro-civilizations, each with their own virtues, vices, socioeconomic situations and political agendas."
1068,//images.igdb.com/igdb/image/upload/t_thumb/co728d.jpg,[8],Super Mario Bros. 3,89.60039631486609,1263,"Super Mario Bros. 3, the third entry in the Super Mario Bros. series and Super Mario franchise, sees Mario or Luigi navigate a nonlinear world map containing platforming levels and optional minigames and challenges. The game features more diverse movement options and new items alongside more complex level designs and boss battles."
426,//images.igdb.com/igdb/image/upload/t_thumb/co31c2.jpg,"[12, 31]",Final Fantasy VI,89.59814496724582,604,"Final Fantasy VI is the sixth main installment in the Final Fantasy series, developed and published by Square. It was the final title in the series to feature two-dimensional graphics, and the first story that did not revolve around crystals.

The game gives players up to fourteen playable characters, the largest cast in the series, and features the Active Time Battle pseudo-turn based menu command system. A party can consist of up to four characters, though some events require the player to assemble three different parties of up to four and switch between them.

Each character has a unique command ability, such as Terra's Trance, Locke's Steal, Edgar's Tools or Sabin's Blitz, and can also learn Magic spells from earning AP from battles with magicite equipped. Each character's rare Desperation Attack will randomly activate after using the Attack command when at critical health."
26758,//images.igdb.com/igdb/image/upload/t_thumb/co1mxf.jpg,"[8, 31]",Super Mario Odyssey,89.54258249689136,1248,"Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!"
434,//images.igdb.com/igdb/image/upload/t_thumb/co2lcv.jpg,"[5, 12, 31]",Red Dead Redemption,89.40825984675254,1727,"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey."
1078,//images.igdb.com/igdb/image/upload/t_thumb/co21tl.jpg,"[8, 31]",Super Mario Galaxy 2,89.10565088305987,671,"Super Mario Galaxy 2 is the sequel to Super Mario Galaxy and the fourth 3D platformer entry in the Mario franchise. The sequel retains many elements from its predecessor, such as the adventure being in outer space, the element of gravity, and recurring objects such as Launch Stars and Sling Stars. Returning items include the Bee Mushroom and the Fire Flower. However, the game introduces new elements as well, such as the utilization of Yoshi, new power-ups like the Cloud Flower, and the use of a guide within the game for beginner players."
231,//images.igdb.com/igdb/image/upload/t_thumb/co1tnt.jpg,"[5, 9, 31]",Half-Life,88.88007983219117,2095,"Dr. Gordon Freeman doesn't speak, but he's got a helluva story to tell. This first-person roller-coaster initiated a new era in the history of action games by combining engrossing gameplay, upgraded graphics, ingenious level design and a revolutionary story that may not be all that it seems, told not through cutscenes, but through the visual environment."
565,//images.igdb.com/igdb/image/upload/t_thumb/co1tnb.jpg,"[5, 8, 31]",Uncharted 2: Among Thieves,88.87230466875184,1709,"In the sequel to Drake's Fortune, Nathan Drake comes across a map that showcases the location of Marco Polo's missing ships. It takes him on a journey to find the infamous Cintamani Stone, and uncover the truth behind it."
376,//images.igdb.com/igdb/image/upload/t_thumb/co5e1c.jpg,[31],Metal Gear Solid 2: Sons of Liberty,88.80460289335774,745,"Metal Gear Solid 2: Sons of Liberty is the sequel to the espionage action game Metal Gear Solid. Much of the gameplay remains the same, as the game's protagonist has to sneak past guards, outsmart them using various gadgets and defeat the tricky boss enemies. The game expanded its predecessor's cover mechanic, with Solid Snake or Raiden able to take cover behind walls or objects and pop out to shoot at enemies, while the improved enemy AI allowed enemies to also take cover from the player. Metal Gear Solid 2 is considered to be one of the greatest video games of all time, as well as a leading example of artistic expression in video games."
1077,//images.igdb.com/igdb/image/upload/t_thumb/co21ro.jpg,"[8, 31]",Super Mario Galaxy,88.7241792112003,916,"A 3D platformer and first Wii entry in the Super Mario franchise, Super Mario Galaxy sees Mario jump across planets and galaxies with varying items, enemies, geographies and gravity mechanics in order to reach his enemy Bowser, who has attacked the Mushroom Kingdom and hijacked Princess Peach's castle with her inside."
230,//images.igdb.com/igdb/image/upload/t_thumb/co1x7n.jpg,"[11, 15]",StarCraft,88.7223096618373,922,StarCraft is a strategic game set in a Galaxy far away on multiple planets. Its style and balance between the three antagonistic species it features is unique and appealed to millions.
132,//images.igdb.com/igdb/image/upload/t_thumb/co1xuq.jpg,"[11, 15]",Warcraft III: Reign of Chaos,88.67646723197454,1189,"Warcraft 3: Reign of Chaos is an RTS made by Blizzard Entertainment. Take control of either the Humans, the Orcs, the Night Elves or the Undead, all with different unit types and heroes with unique abilities.Play the story driven single player campaign, go online to play default- or custom maps against people around the world or create your own maps with the map creation tool."
1627,//images.igdb.com/igdb/image/upload/t_thumb/co21yv.jpg,"[4, 8]",Super Smash Bros. Melee,88.54183516860738,754,"Super Smash Bros. Melee is the second installment in the Super Smash Bros. series and the follow-up to the Nintendo 64 title. It includes all playable characters from the first game, and also adds characters from franchises such as Fire Emblem, of which no games had been released outside Japan at the time. Super Smash Bros. Melee builds on the first game by adding new gameplay features and playable characters: it's major focus is the multiplayer mode, while still offering a number of single-player modes."
11156,//images.igdb.com/igdb/image/upload/t_thumb/co2una.jpg,"[5, 12, 31]",Horizon Zero Dawn,88.5341390176252,1640,"Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny."
1221,//images.igdb.com/igdb/image/upload/t_thumb/co30t1.jpg,"[12, 31]",Kingdom Hearts II,88.40988461025745,601,"Kingdom Hearts II is an action role-playing game, and the primary entry to the series since the 2002 Disney Interactive and Square collaboration. The game's setting is a collection of various levels (referred to in-game as ""worlds"") that the player progresses through. As in the first game, it II allows the player to travel to locales from various Disney works, along with original worlds specifically created for the series."
126,//images.igdb.com/igdb/image/upload/t_thumb/co3gfq.jpg,"[12, 25]",Diablo II,88.34572781410222,1113,"Like its predecessor, Diablo II is an action role-playing game with dark fantasy and horror themes. The player controls a new hero attempting to stop the destruction unleashed by Diablo's return. The game's 4 acts feature a variety of locations and settings to explore and battle in, as well as an increased cast of characters to play as and interact with. Diablo II had become one of the most popular online games of all time. Major factors that contributed to Diablo II's success include what fans found to be addictive hack-and-slash gameplay and free access to Battle.net."
1073,//images.igdb.com/igdb/image/upload/t_thumb/co2kn9.jpg,[8],Super Mario World 2: Yoshi's Island,88.29877712643756,548,"Super Mario World 2: Yoshi's Island is a platform video game acting as a prequel to 1990's Super Mario World. The game casts players as Yoshi as he escorts Baby Mario through 48 levels in order to reunite him with his brother Luigi, who had been kidnapped by Baby Bowser's minions. As a Super Mario series platformer, Yoshi runs and jumps to reach the end of the level while solving puzzles and collecting items. In a style new to the series, the game has a hand-drawn aesthetic and is the first to have Yoshi as its main character. The game introduces his signature abilities to flutter jump, produce eggs from swallowed enemies, and transform into vehicles."
19686,//images.igdb.com/igdb/image/upload/t_thumb/co1ir3.jpg,"[5, 31]",Resident Evil 2,88.23476796269021,796,"Resident Evil 2 is a remake of 1998's Resident Evil 2. The game was not developed with the intent of improving the original, but rather a reimagining of the original story with redesigned maps, characters and story elements. Gameplay mechanics are more similar to Resident Evil 7: Biohazard though with the use of an over-the-shoulder camera."
2909,//images.igdb.com/igdb/image/upload/t_thumb/co3p0j.jpg,"[9, 12, 31]",The Legend of Zelda: A Link Between Worlds,88.16871535118648,556,"The Legend of Zelda: A Link Between Worlds is the first Zelda game made exclusively for the Nintendo 3DS. It is an indirect sequel to A Link to the Past with the same version of Hyrule but with new characters and gameplay elements. Unlike the series' tradition, many areas of the world are accessible from the beginning of the game and the dungeons can be visited in any order. Puzzles are encountered not only in dungeons but also in the open world, a part of them revolves around the game's 3D visual effect. The 3DS touch-screen display shows the world, dungeon or map depending on where you are."
421,//images.igdb.com/igdb/image/upload/t_thumb/co2unc.jpg,"[12, 16]",Final Fantasy IX,88.1679143749828,682,"Final Fantasy IX is the ninth main installment in the FF series. The title is a return to the series's roots, with gameplay features and references to the past games featuring throughout, as well as a medieval fantasy setting and cartoonish art style as a break from the sci-fi slant style of Final Fantasy VII and Final Fantasy VIII."
472,//images.igdb.com/igdb/image/upload/t_thumb/co1tnw.jpg,"[12, 31]",The Elder Scrolls V: Skyrim,87.76150754994033,3051,"Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before."
733,//images.igdb.com/igdb/image/upload/t_thumb/co2lbb.jpg,"[5, 10, 31, 33]",Grand Theft Auto: Vice City,87.62454389973398,2171,"In the year 1986, Tommy Vercetti is heavily indebted to his mafia superiors after a drug deal gone awry, but his dreams of taking over Vice City (based on Miami) push him down a different path. Featuring a wide variety of vehicles and weapons, radio stations playing hit songs from the era and an intense atmosphere, GTA: Vice City is an open-world sandbox satire of '80's Miami."
974,//images.igdb.com/igdb/image/upload/t_thumb/co2wk8.jpg,[5],Resident Evil 4,87.56996387475743,1251,"Resident Evil 4 is the sixth installment of the Resident Evil series praised as a revolution from the core games. It was the first title to implement a third-person view rather than the original fixed camera angles its predecessors had. Its mechanics have been completely revamped to incorporate fast-paced gunplay, quick controls and shoot-outs involving massive crowds of enemies in more open areas. The brand-new AI system and open environments allow enemies to work together to capture and corner Leon. Enemies are now humans, which allows them to climb up ladders, open doors, and use weapons throughout the game. Resident Evil 4 had one of the most tormented developments in any game, four proposed versions of the game were discarded by the developers before the finished product was released."
247,//images.igdb.com/igdb/image/upload/t_thumb/co2mw2.jpg,"[5, 9]",Half-Life 2: Episode Two,87.56273022168683,1188,"The second episodic sequel to one of the most influential first-person shooters of its time, Half-Life 2."
418,//images.igdb.com/igdb/image/upload/t_thumb/co1tr1.jpg,"[12, 31]",Final Fantasy X,87.55503751522502,750,"Final Fantasy X is the tenth main installment in the FF series and the first title released on sixth-generation consoles. It was also the first game to feature fully three-dimensional areas rather than including pre-rendered backdrops, and the first to include voice acting. Final Fantasy X tells the story of a star blitzball player, Tidus, who journeys with a young and beautiful summoner named Yuna on her quest to save the world of Spira from an endless cycle of destruction wrought by the colossal menace Sin."
1030,//images.igdb.com/igdb/image/upload/t_thumb/co3pah.jpg,[31],The Legend of Zelda: Majora's Mask,87.51607181980557,673,"The Legend of Zelda: Majora's Mask is a direct sequel to Ocarina of Time, it utilizes the same engine and visual style as its predecessor. The game retains the traditional elements of Zelda games as well as those introduced in Ocarina of Time, such as active blocking with a shield, various throwing items, and the usage of melodies played on the ocarina to solve puzzles. Compared to the previous Zelda games, this installment is more oriented towards interaction with NPCs and has a larger variety of items, optional quests, and mini-games. It also includes a time system that spans three days, and this cycle must be reset periodically to progress through the game."
39,//images.igdb.com/igdb/image/upload/t_thumb/co1qrt.jpg,"[4, 5, 10, 31]",Mafia,87.4960746454414,1047,"Mafia is a 3D action crime epic set in the seedy underworld of the 1930's. Rise from the lowly but well-dressed Footsoldier, to an envied and feared Made Man in an era of mob hits, car chases, and bootlegging. Earn a reputation as a tough enforcer, daring getaway driver, and deadly hitman in your quest for respect and power within the Salieri Family."
118,//images.igdb.com/igdb/image/upload/t_thumb/co1qrj.jpg,"[12, 15, 31]",Star Wars: Knights of the Old Republic II - The Sith Lords,87.48668734510713,653,"Star Wars Knights of the Old Republic II: The Sith Lords is a sequel to the blockbuster RPG Star Wars Knights of the Old Republic. Players continue to enjoy the title's emotionally compelling and story-driven theme, additions to features such as new characters, classes, locations and force powers as well as a deeper look into the founding lore."
